id;mossa;tipo;categoria;potenza;precisione;descrizione
1;botta;normale;fisico;40;100;Colpisce il nemico con la coda o le zampe anteriori.
2;colpokarate;lotta;fisico;50;100;Colpisce il nemico con un colpo netto. Probabile brutto colpo.
3;doppiasberla;normale;fisico;15;85;Schiaffeggia il nemico da due a cinque volte di fila.
4;cometapugno;normale;fisico;18;85;Colpisce il nemico con una scarica di pugni da due a cinque volte di fila.
5;megapugno;normale;fisico;80;85;Colpisce il nemico con un pugno poderoso.
6;giornopaga;normale;fisico;40;100;Colpisce il nemico con una gran quantità di monete recuperabili dopo la lotta.
7;fuocopugno;fuoco;fisico;75;100;Colpisce il nemico con un pugno ardente che può scottarlo.
8;gelopugno;ghiaccio;fisico;75;100;Colpisce il nemico con un pugno di ghiaccio che può congelarlo.
9;tuonopugno;elettro;fisico;75;100;Colpisce il nemico con un pugno elettrico che può paralizzarlo.
10;graffio;normale;fisico;40;100;Infligge danni al nemico con artigli acuminati, duri e affilati.
11;presa;normale;fisico;55;100;Stringe il nemico in una morsa usando enormi e possenti tenaglie.
12;ventagliente;normale;speciale;80;100;Chi la usa genera un turbine al primo turno e attacca al secondo. Probabile brutto colpo.
13;taglio;normale;fisico;50;95;Attacca il nemico con artigli o falci affilate. Fuori dalla lotta si usa per tagliare piccoli alberi.
14;raffica;volante;speciale;40;100;Infligge danni al nemico con una folata di vento sollevata dalle ali.
15;attacco d'ala;volante;fisico;60;100;Infligge danni al nemico spiegando delle grandi ali possenti.
16;volo;volante;fisico;90;95;Chi la usa si alza in volo per attaccare al turno seguente. Fuori dalla lotta permette di volare in città già visitate.
17;legatutto;normale;fisico;15;85;Lega e stritola il nemico per quattro o cinque turni con tentacoli o con un corpo lungo.
18;schianto;normale;fisico;80;75;Infligge danni al nemico con una coda, con una liana o con qualcosa di simile.
19;frustata;erba;fisico;45;100;Infligge danni al nemico con liane sottili simili a fruste.
20;pestone;normale;fisico;65;100;Colpisce il nemico con un grosso piede e può anche farlo tentennare.
21;doppiocalcio;lotta;fisico;30;100;Colpisce il nemico due volte con un paio di rapidi calci inferti con entrambi i piedi.
22;megacalcio;normale;fisico;120;75;Colpisce il nemico con un calcio sferrato con la forza di muscoli poderosi.
23;calciosalto;lotta;fisico;100;95;Permette di saltare in alto per attaccare con un calcio. Se non va a buon fine, chi la usa si ferisce.
24;calciorullo;lotta;fisico;60;85;Chi la usa infierisce sul nemico con un calcio rotante. Può anche farlo tentennare.
25;bottintesta;normale;fisico;70;100;Chi la usa si lancia diritto di testa contro il nemico. Può anche far tentennare.
26;incornata;normale;fisico;65;100;Danneggia il nemico infilzandolo con un corno affilato.
27;furia;normale;fisico;15;85;Infilza il nemico con corna affilate o un becco da due a cinque volte di fila.
28;azione;normale;fisico;40;100;Attacco fisico che colpisce il nemico investendolo con tutto il corpo.
29;corposcontro;normale;fisico;85;100;Chi la usa carica il nemico con tutto il corpo. Può causarne anche la paralisi.
30;avvolgibotta;normale;fisico;15;90;Avvolge e stritola il nemico con un corpo lungo o con piante rampicanti per quattro o cinque turni.
31;riduttore;normale;fisico;90;85;Carica spericolata con tutto il corpo contro il nemico. Danneggia un po' anche chi la usa.
32;colpo;normale;fisico;120;100;Assale e attacca il nemico per due o tre turni, ma confonde chi la usa.
33;sdoppiatore;normale;fisico;120;100;Carica spietata e pericolosa che danneggia molto anche chi la usa.
34;velenospina;veleno;fisico;15;100;Colpisce il nemico con un aculeo tossico che può anche avvelenarlo.
35;doppio ago;coleottero;fisico;25;100;Colpisce il nemico due volte di seguito con un paio di aghi. Può anche avvelenarlo.
36;missilspillo;coleottero;fisico;25;95;Il nemico viene colpito da due a cinque volte con spilli appuntiti in rapida successione.
37;morso;buio;fisico;60;100;Il nemico viene morso da denti affilatissimi che possono farlo tentennare.
38;acido;veleno;speciale;40;100;Colpisce i nemici intorno spruzzando un acido corrosivo. Può anche ridurne la Difesa Speciale.
39;braciere;fuoco;speciale;40;100;Il Pokémon attacca con piccole fiamme. Possono scottare il nemico.
40;lanciafiamme;fuoco;speciale;90;100;Il nemico viene colpito da intense fiammate che possono anche scottarlo.
41;pistolacqua;acqua;speciale;40;100;Il nemico è colpito da un potente getto d'acqua.
42;idropompa;acqua;speciale;110;80;Il nemico è travolto da un potente getto d'acqua spruzzato ad altissima pressione.
43;surf;acqua;speciale;90;100;Un'onda enorme sommerge il campo di lotta. Fuori dalla lotta si usa per spostarsi sull'acqua.
44;geloraggio;ghiaccio;speciale;90;100;Il nemico è colpito da un raggio di energia gelida che può anche congelarlo.
45;bora;ghiaccio;speciale;110;70;Colpisce i bersagli con una tremenda tempesta di ghiaccio che può anche congelarli.
46;psicoraggio;psico;speciale;65;100;Il nemico è attaccato con un raggio psichico. Può anche lasciare il nemico confuso.
47;bollaraggio;acqua;speciale;65;100;Colpisce il nemico con una forte scarica di bolle. Può anche ridurne la Velocità.
48;raggiaurora;ghiaccio;speciale;65;100;Il nemico viene colpito da un fascio color arcobaleno. Può ridurre l'attacco dell'avversario.
49;iper raggio;normale;speciale;150;90;Colpisce il nemico con un potente raggio. Chi la usa salta il turno successivo per recuperare energia.
50;beccata;volante;fisico;35;100;Colpisce il nemico con un becco appuntito o un corno.
51;perforbecco;volante;fisico;80;100;Attacco a spirale con un becco aguzzo che fa da trapano.
52;sottomissione;lotta;fisico;80;80;Chi la usa carica il nemico in modo spericolato, ma danneggia anche se stesso.
53;forza;normale;fisico;80;100;Colpisce il nemico con un'enorme energia. Fuori dalla lotta si usa per spostare i massi.
54;assorbimento;erba;speciale;20;100;Mossa che assorbe PS. Chi la usa recupera una quantità di PS pari alla metà del danno inferto.
55;megassorbimento;erba;speciale;40;100;Mossa che assorbe PS. Chi la usa recupera un quantità di PS pari alla metà del danno inferto.
56;foglielama;erba;fisico;55;95;Foglie taglienti sferzano i nemici intorno. Probabile brutto colpo.
57;solarraggio;erba;speciale;120;100;Chi la usa assorbe luce al primo turno per proiettare un raggio intenso al turno successivo.
58;petalodanza;erba;speciale;120;100;Attacca il nemico cospargendolo di petali per due o tre turni, ma chi la usa rimane confuso.
59;turbofuoco;fuoco;speciale;35;85;Intrappola il bersaglio in un turbine di fuoco che dura per quattro o cinque turni.
60;tuonoshock;elettro;speciale;40;100;Danneggia il bersaglio con una scarica elettrica che può anche paralizzarlo.
61;fulmine;elettro;speciale;90;100;Il bersaglio viene colpito da una potente scarica elettrica che può anche paralizzarlo.
62;tuono;elettro;speciale;110;70;Il nemico è colpito da un lampo molto violento che può anche paralizzarlo.
63;sassata;roccia;fisico;50;90;Chi la usa solleva una roccia e la lancia contro il nemico.
64;terremoto;terra;fisico;100;100;Chi la usa provoca un potente sisma che colpisce gli altri Pokémon in campo.
65;fossa;terra;fisico;80;100;Chi la usa scava al primo turno e attacca al successivo. Fuori dalla lotta fa uscire da alcuni luoghi.
66;confusione;psico;speciale;50;100;Colpisce il nemico con una leggera forza telecinetica e può anche confonderlo.
