id;name
12;ventagliente
136;divinazione
10;graffio
195;fintoattacco
68;attacco rapido
124;inseguimento
37;morso
97;lacerazione
208;nottesferza
233;psicotaglio
202;sbigoattacco
129;introforza
44;geloraggio
45;bora
49;iper raggio
61;fulmine
62;tuono
135;palla ombra
40;lanciafiamme
76;fuocobomba
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
276;echeggiavoce
116;falsofinale
252;raggioscossa
284;bruciatutto
227;ombrartigli
199;rivincita
286;nemesi
223;gigaimpatto
248;pietrataglio
94;frana
212;forbice x
84;mangiasogni
137;spaccaroccia
149;forzasegreta
322;urlorabbia
207;neropulsar
13;taglio
53;forza
200;garanzia
33;sdoppiatore
106;finta
281;sciagura
122;megacorno
336;carineria
234;cozzata zen
180;rimbalzo
274;ripicca
111;ventogelato
126;codacciaio
148;privazione
188;ondashock
102;russare
145;troppoforte
189;idropulsar
