id;name
28;azione
107;fangosberla
25;bottintesta
126;ferrartigli
166;rocciotomba
245;metaltestata
94;frana
31;riduttore
125;codacciaio
33;sdoppiatore
177;dragartigli
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
265;abbattimento
61;fulmine
62;tuono
64;terremoto
65;fossa
146;breccia
40;lanciafiamme
76;fuocobomba
175;aeroassalto
141;facciata
274;coro
218;focalcolpo
283;bruciatutto
226;ombrartigli
198;rivincita
222;gigaimpatto
247;pietrataglio
292;battiterra
294;codadrago
235;cannonflash
136;spaccaroccia
148;forzasegreta
206;neropulsar
345;crescipugno
13;taglio
43;surf
53;forza
29;corposcontro
214;dragofuria
255;zuccata
143;maniereforti
20;pestone
144;troppoforte
208;idrondata
213;dragopulsar
221;geoforza
7;fuocopugno
142;centripugno
8;gelopugno
110;ventogelato
112;oltraggio
187;ondashock
101;russare
9;tuonopugno
139;baraonda
188;idropulsar
