id;name
87;aeroattacco
196;spennata
50;beccata
163;sgomento
27;furia
334;incantavoce
275;coro
31;riduttore
123;dragospiro
214;dragopulsar
338;forza lunare
178;dragartigli
129;introforza
44;geloraggio
49;iper raggio
57;solarraggio
64;terremoto
40;lanciafiamme
76;fuocobomba
176;aeroassalto
142;facciata
100;furto
276;echeggiavoce
119;alacciaio
284;bruciatutto
223;gigaimpatto
293;battiterra
84;mangiasogni
137;spaccaroccia
149;forzasegreta
345;magibrillio
16;volo
215;dragofuria
157;granvoce
124;inseguimento
69;ira
238;dragobolide
141;ondacalda
126;codacciaio
113;oltraggio
102;russare
140;baraonda
