id;name
10;graffio
162;sgomento
92;sfuriate
79;comete
256;doppiosmash
200;ultimascelta
128;introforza
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
65;fossa
134;palla ombra
146;breccia
175;aeroassalto
141;facciata
99;furto
271;calciobasso
274;coro
284;acrobazia
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
84;mangiasogni
196;retromarcia
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
179;rimbalzo
182;supplica
3;doppiasberla
138;bruciapelo
123;inseguimento
145;vendetta
18;schianto
7;fuocopugno
142;centripugno
273;ripicca
244;sporcolancio
8;gelopugno
125;codacciaio
147;privazione
209;semebomba
187;ondashock
101;russare
9;tuonopugno
139;baraonda
188;idropulsar
