id;name
229;gelodenti
228;fulmindenti
230;rogodenti
30;avvolgibotta
34;velenospina
37;morso
38;acido
132;sgranocchio
273;acidobomba
232;pantanobomba
328;rutto
245;sporcolancio
265;velenoshock
129;introforza
49;iper raggio
64;terremoto
65;fossa
269;fangonda
107;fangobomba
167;rocciotomba
142;facciata
100;furto
275;coro
199;rivincita
223;gigaimpatto
293;battiterra
94;frana
295;codadrago
348;assillo
206;velenpuntura
149;forzasegreta
207;neropulsar
53;forza
126;codacciaio
158;velenodenti
182;velenocoda
124;inseguimento
18;schianto
202;sbigoattacco
209;idrondata
17;legatutto
114;gigassorbimento
210;semebomba
102;russare
