id;name
228;fulmindenti
37;morso
230;rogodenti
133;extrarapido
129;introforza
49;iper raggio
57;solarraggio
65;fossa
40;lanciafiamme
76;fuocobomba
176;aeroassalto
142;facciata
271;nitrocarica
100;furto
275;coro
166;vampata
284;bruciatutto
286;nemesi
223;gigaimpatto
293;battiterra
297;sprizzalampo
137;spaccaroccia
149;forzasegreta
322;urlorabbia
53;forza
29;corposcontro
198;zuffa
183;supplica
132;sgranocchio
33;sdoppiatore
21;doppiocalcio
59;turbofuoco
203;fuococarica
141;ondacalda
126;codacciaio
32;colpo
214;dragopulsar
246;metaltestata
113;oltraggio
102;russare
39;braciere
101;ruotafuoco
31;riduttore
268;pirolancio
