id;name
221;geoforza
156;granvoce
132;extrarapido
135;divinazione
49;iper raggio
249;giudizio
177;dragartigli
263;psicoshock
128;introforza
44;geloraggio
45;bora
57;solarraggio
61;fulmine
62;tuono
64;terremoto
67;psichico
134;palla ombra
146;breccia
40;lanciafiamme
106;fangobomba
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
275;echeggiavoce
165;vampata
218;focalcolpo
219;energipalla
251;raggioscossa
283;bruciatutto
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
211;forbice x
205;velenpuntura
84;mangiasogni
235;cannonflash
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
13;taglio
16;volo
43;surf
53;forza
77;cascata
237;dragobolide
208;idrondata
213;dragopulsar
113;gigassorbimento
140;ondacalda
110;ventogelato
245;metaltestata
125;codacciaio
200;ultimascelta
112;oltraggio
187;ondashock
168;segnoraggio
101;russare
188;idropulsar
233;cozzata zen
