id;name
329;pungiglione
251;coleomorso
34;velenospina
82;limitazione
86;sanguisuga
231;furtivombra
92;sfuriate
202;sbigoattacco
36;missilspillo
67;psichico
206;velenpuntura
244;velenocroce
265;velenoshock
129;introforza
49;iper raggio
57;solarraggio
65;fossa
107;fangobomba
142;facciata
100;furto
275;coro
223;gigaimpatto
292;entomoblocco
212;forbice x
348;assillo
149;forzasegreta
296;elettrotela
122;megacorno
208;nottesferza
46;psicoraggio
124;inseguimento
169;segnoraggio
35;doppio ago
180;rimbalzo
274;ripicca
114;gigassorbimento
102;russare
