id;name
201;ultimascelta
1;botta
334;incantavoce
3;doppiasberla
149;forzasegreta
31;riduttore
33;sdoppiatore
264;psicoshock
129;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
65;fossa
67;psichico
135;palla ombra
40;lanciafiamme
76;fuocobomba
142;facciata
275;coro
276;echeggiavoce
252;raggioscossa
284;bruciatutto
286;nemesi
84;mangiasogni
297;sprizzalampo
349;crescipugno
345;magibrillio
43;surf
335;assorbibacio
183;supplica
217;assorbipugno
7;fuocopugno
143;centripugno
157;granvoce
8;gelopugno
111;ventogelato
126;codacciaio
148;privazione
169;segnoraggio
102;russare
9;tuonopugno
140;baraonda
234;cozzata zen
