id;name
27;furia
35;doppio ago
69;ira
124;inseguimento
36;missilspillo
200;garanzia
206;velenpuntura
329;pungiglione
265;velenoshock
129;introforza
49;iper raggio
57;solarraggio
147;breccia
107;fangobomba
176;aeroassalto
142;facciata
100;furto
275;coro
116;falsofinale
285;acrobazia
199;rivincita
223;gigaimpatto
292;entomoblocco
212;forbice x
348;assillo
197;retromarcia
137;spaccaroccia
149;forzasegreta
13;taglio
251;coleomorso
298;giravvita
296;elettrotela
114;gigassorbimento
148;privazione
102;russare
34;velenospina
