id;name
28;azione
114;rotolamento
41;pistolacqua
25;bottintesta
95;iperzanna
31;riduttore
144;troppoforte
128;introforza
44;geloraggio
45;bora
49;iper raggio
61;fulmine
62;tuono
65;fossa
134;palla ombra
141;facciata
99;furto
274;coro
275;echeggiavoce
279;idrovampata
251;raggioscossa
285;nemesi
222;gigaimpatto
292;battiterra
136;spaccaroccia
148;forzasegreta
13;taglio
43;surf
53;forza
77;cascata
149;sub
208;idrondata
33;sdoppiatore
92;sfuriate
68;attacco rapido
236;scalaroccia
80;capocciata
182;supplica
142;centripugno
110;ventogelato
125;codacciaio
200;ultimascelta
187;ondashock
101;russare
188;idropulsar
