id;name
202;fuococarica
7;fuocopugno
83;calcinvolo
10;graffio
39;braciere
50;beccata
21;doppiocalcio
270;nitrocarica
68;attacco rapido
153;calciardente
97;lacerazione
220;baldeali
171;stramontante
128;introforza
49;iper raggio
57;solarraggio
64;terremoto
65;fossa
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
271;calciobasso
274;coro
275;echeggiavoce
165;vampata
218;focalcolpo
283;bruciatutto
284;acrobazia
226;ombrartigli
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
205;velenpuntura
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
158;tritartigli
194;fintoattacco
267;pirolancio
200;ultimascelta
207;nottesferza
143;maniereforti
159;incendio
179;rimbalzo
298;doppiocolpo
288;fiammapatto
142;centripugno
140;ondacalda
147;privazione
101;russare
144;troppoforte
9;tuonopugno
59;turbofuoco
