id;name
54;assorbimento
28;azione
55;megassorbimento
25;bottintesta
195;fintoattacco
105;pugnorapido
204;palmoforza
172;stramontante
210;semebomba
121;dinamipugno
265;velenoshock
129;introforza
49;iper raggio
57;solarraggio
147;breccia
107;fangobomba
167;rocciotomba
142;facciata
272;calciobasso
275;coro
219;focalcolpo
220;energipalla
116;falsofinale
286;nemesi
223;gigaimpatto
248;pietrataglio
94;frana
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
53;forza
175;semitraglia
217;assorbipugno
143;centripugno
192;svegliopacca
114;gigassorbimento
126;codacciaio
102;russare
145;troppoforte
9;tuonopugno
