id;name
41;pistolacqua
114;rotolamento
37;morso
253;acquagetto
133;forzantica
131;sgranocchio
193;acquadisale
265;abbattimento
208;idrondata
94;frana
42;idropompa
128;introforza
44;geloraggio
45;bora
49;iper raggio
64;terremoto
65;fossa
166;rocciotomba
141;facciata
274;coro
218;focalcolpo
279;idrovampata
222;gigaimpatto
247;pietrataglio
292;battiterra
136;spaccaroccia
148;forzasegreta
43;surf
53;forza
77;cascata
149;sub
29;corposcontro
147;privazione
63;sassata
18;schianto
188;idropulsar
137;mulinello
221;geoforza
110;ventogelato
245;metaltestata
125;codacciaio
101;russare
144;troppoforte
233;cozzata zen
