id;name
203;fuococarica
141;ondacalda
178;dragartigli
227;ombrartigli
211;eterelama
10;graffio
39;braciere
230;rogodenti
268;pirolancio
97;lacerazione
40;lanciafiamme
59;turbofuoco
287;marchiatura
129;introforza
49;iper raggio
57;solarraggio
64;terremoto
65;fossa
147;breccia
76;fuocobomba
167;rocciotomba
176;aeroassalto
142;facciata
271;nitrocarica
275;coro
276;echeggiavoce
166;vampata
119;alacciaio
219;focalcolpo
282;cadutalibera
284;bruciatutto
223;gigaimpatto
293;battiterra
94;frana
295;codadrago
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
16;volo
53;forza
165;aerasoio
134;forzantica
37;morso
132;sgranocchio
214;dragopulsar
215;dragofuria
143;centripugno
127;ferrartigli
113;oltraggio
160;incendio
289;fiammapatto
7;fuocopugno
126;codacciaio
102;russare
9;tuonopugno
