id;name
10;graffio
39;braciere
92;sfuriate
101;ruotafuoco
142;facciata
59;turbofuoco
285;acrobazia
40;lanciafiamme
129;introforza
65;fossa
147;breccia
76;fuocobomba
176;aeroassalto
271;nitrocarica
272;calciobasso
275;coro
166;vampata
284;bruciatutto
227;ombrartigli
197;retromarcia
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
53;forza
154;calciardente
21;doppiocalcio
139;bruciapelo
7;fuocopugno
143;centripugno
141;ondacalda
52;sottomissione
9;tuonopugno
183;supplica
289;fiammapatto
245;sporcolancio
126;codacciaio
102;russare
140;baraonda
