id;name
10;graffio
39;braciere
50;beccata
21;doppiocalcio
271;nitrocarica
68;attacco rapido
97;lacerazione
172;stramontante
203;fuococarica
129;introforza
65;fossa
147;breccia
40;lanciafiamme
76;fuocobomba
167;rocciotomba
176;aeroassalto
142;facciata
272;calciobasso
275;coro
276;echeggiavoce
166;vampata
219;focalcolpo
284;bruciatutto
227;ombrartigli
94;frana
206;velenpuntura
137;spaccaroccia
149;forzasegreta
13;taglio
53;forza
159;tritartigli
195;fintoattacco
268;pirolancio
201;ultimascelta
208;nottesferza
144;maniereforti
180;rimbalzo
299;doppiocolpo
289;fiammapatto
7;fuocopugno
143;centripugno
141;ondacalda
102;russare
9;tuonopugno
59;turbofuoco
