id;name
25;bottintesta
124;inseguimento
31;riduttore
200;garanzia
277;insidia
134;forzantica
234;cozzata zen
256;zuccata
129;introforza
44;geloraggio
45;bora
266;abbattimento
61;fulmine
62;tuono
64;terremoto
65;fossa
40;lanciafiamme
76;fuocobomba
167;rocciotomba
142;facciata
100;furto
275;coro
284;bruciatutto
199;rivincita
248;pietrataglio
293;battiterra
94;frana
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
132;sgranocchio
33;sdoppiatore
193;martelpugno
246;metaltestata
126;codacciaio
18;schianto
20;pestone
32;colpo
214;dragopulsar
222;geoforza
7;fuocopugno
188;ondashock
102;russare
145;troppoforte
9;tuonopugno
140;baraonda
