id;name
162;sgomento
107;fangosberla
34;velenospina
123;inseguimento
105;finta
145;vendetta
231;pantanobomba
201;sbigoattacco
264;velenoshock
205;velenpuntura
106;fangobomba
327;rutto
128;introforza
64;terremoto
65;fossa
134;palla ombra
146;breccia
268;fangonda
166;rocciotomba
141;facciata
99;furto
271;calciobasso
274;coro
218;focalcolpo
198;rivincita
285;nemesi
292;battiterra
94;frana
211;forbice x
136;spaccaroccia
148;forzasegreta
206;neropulsar
345;crescipugno
53;forza
223;pugnoscarica
129;incrocolpo
216;assorbipugno
120;dinamipugno
138;bruciapelo
194;fintoattacco
25;bottintesta
143;maniereforti
217;vuotonda
191;svegliopacca
179;rimbalzo
298;doppiocolpo
142;centripugno
273;ripicca
244;sporcolancio
8;gelopugno
110;ventogelato
147;privazione
101;russare
9;tuonopugno
