id;name
244;velenocroce
86;sanguisuga
163;sgomento
37;morso
165;aerasoio
79;comete
158;velenodenti
285;acrobazia
265;velenoshock
211;eterelama
129;introforza
49;iper raggio
135;palla ombra
107;fangobomba
176;aeroassalto
142;facciata
100;furto
275;coro
119;alacciaio
199;rivincita
223;gigaimpatto
212;forbice x
197;retromarcia
149;forzasegreta
207;neropulsar
16;volo
221;baldeali
106;finta
114;gigassorbimento
14;raffica
124;inseguimento
68;attacco rapido
234;cozzata zen
141;ondacalda
87;aeroattacco
102;russare
140;baraonda
