id;name
10;graffio
41;pistolacqua
69;ira
37;morso
228;gelodenti
131;sgranocchio
276;insidia
97;lacerazione
32;colpo
208;idrondata
144;troppoforte
42;idropompa
177;dragartigli
128;introforza
44;geloraggio
45;bora
65;fossa
146;breccia
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
279;idrovampata
226;ombrartigli
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
43;surf
53;forza
77;cascata
149;sub
133;forzantica
253;acquagetto
8;gelopugno
126;ferrartigli
188;idropulsar
142;centripugno
110;ventogelato
125;codacciaio
101;russare
139;baraonda
287;acquapatto
