id;name
262;funestovento
68;attacco rapido
106;finta
84;mangiasogni
207;neropulsar
129;introforza
44;geloraggio
45;bora
49;iper raggio
61;fulmine
62;tuono
67;psichico
135;palla ombra
147;breccia
107;fangobomba
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
219;focalcolpo
252;raggioscossa
284;bruciatutto
227;ombrartigli
199;rivincita
286;nemesi
223;gigaimpatto
94;frana
212;forbice x
206;velenpuntura
137;spaccaroccia
149;forzasegreta
322;urlorabbia
349;crescipugno
13;taglio
53;forza
217;assorbipugno
143;centripugno
274;ripicca
111;ventogelato
148;privazione
201;ultimascelta
188;ondashock
102;russare
330;spettrotuffo
