id;name
28;azione
114;rotolamento
283;bruciatutto
69;ira
229;rogodenti
25;bottintesta
141;facciata
7;fuocopugno
32;colpo
202;fuococarica
192;martelpugno
144;troppoforte
165;vampata
128;introforza
49;iper raggio
57;solarraggio
265;abbattimento
64;terremoto
65;fossa
67;psichico
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
270;nitrocarica
99;furto
274;coro
218;focalcolpo
198;rivincita
222;gigaimpatto
247;pietrataglio
94;frana
196;retromarcia
136;spaccaroccia
148;forzasegreta
345;crescipugno
53;forza
100;ruotafuoco
142;centripugno
31;riduttore
140;ondacalda
101;russare
139;baraonda
233;cozzata zen
