id;name
139;bruciapelo
3;doppiasberla
129;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
65;fossa
135;palla ombra
142;facciata
275;coro
276;echeggiavoce
252;raggioscossa
199;rivincita
286;nemesi
223;gigaimpatto
84;mangiasogni
297;sprizzalampo
137;spaccaroccia
149;forzasegreta
53;forza
201;ultimascelta
232;pantanobomba
202;sbigoattacco
140;baraonda
234;cozzata zen
183;supplica
157;granvoce
111;ventogelato
126;codacciaio
188;ondashock
102;russare
189;idropulsar
28;azione
106;finta
192;svegliopacca
33;sdoppiatore
336;carineria
