id;name
30;avvolgibotta
148;privazione
124;inseguimento
67;psichico
234;cozzata zen
191;psicoslancio
49;iper raggio
145;troppoforte
110;falcecannone
79;comete
133;extrarapido
264;psicoshock
129;introforza
44;geloraggio
57;solarraggio
61;fulmine
62;tuono
135;palla ombra
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
272;calciobasso
275;coro
219;focalcolpo
220;energipalla
252;raggioscossa
223;gigaimpatto
94;frana
206;velenpuntura
84;mangiasogni
236;cannonflash
137;spaccaroccia
149;forzasegreta
207;neropulsar
349;crescipugno
13;taglio
53;forza
17;legatutto
217;assorbipugno
7;fuocopugno
143;centripugno
8;gelopugno
111;ventogelato
188;ondashock
169;segnoraggio
102;russare
9;tuonopugno
189;idropulsar
