id;name
230;rogodenti
228;fulmindenti
26;incornata
293;battiterra
125;rapigiro
115;rotolamento
200;garanzia
148;privazione
18;schianto
27;furia
64;terremoto
223;gigaimpatto
129;introforza
49;iper raggio
167;rocciotomba
142;facciata
275;coro
276;echeggiavoce
248;pietrataglio
94;frana
206;velenpuntura
137;spaccaroccia
149;forzasegreta
53;forza
134;forzantica
29;corposcontro
256;zuccata
226;geloscheggia
108;fangosberla
336;carineria
102;russare
180;rimbalzo
222;geoforza
245;sporcolancio
157;granvoce
126;codacciaio
201;ultimascelta
210;semebomba
145;troppoforte
28;azione
31;riduttore
33;sdoppiatore
