id;name
208;nottesferza
96;tripletta
10;graffio
163;sgomento
108;fangosberla
293;battiterra
202;sbigoattacco
173;sabbiotomba
232;pantanobomba
222;geoforza
65;fossa
97;lacerazione
64;terremoto
129;introforza
49;iper raggio
269;fangonda
107;fangobomba
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
276;echeggiavoce
227;ombrartigli
223;gigaimpatto
248;pietrataglio
94;frana
137;spaccaroccia
149;forzasegreta
13;taglio
134;forzantica
106;finta
25;bottintesta
124;inseguimento
140;baraonda
102;russare
