id;name
69;ira
114;rotolamento
123;inseguimento
133;forzantica
31;riduttore
65;fossa
33;sdoppiatore
297;giravvita
128;introforza
44;geloraggio
45;bora
57;solarraggio
61;fulmine
62;tuono
64;terremoto
134;palla ombra
40;lanciafiamme
76;fuocobomba
166;rocciotomba
141;facciata
99;furto
274;coro
251;raggioscossa
283;bruciatutto
285;nemesi
292;battiterra
94;frana
205;velenpuntura
84;mangiasogni
296;sprizzalampo
136;spaccaroccia
148;forzasegreta
53;forza
162;sgomento
37;morso
25;bottintesta
280;sciagura
101;russare
208;idrondata
17;legatutto
125;codacciaio
200;ultimascelta
187;ondashock
188;idropulsar
233;cozzata zen
