id;name
136;divinazione
7;fuocopugno
8;gelopugno
9;tuonopugno
17;legatutto
163;sgomento
231;furtivombra
124;inseguimento
170;pugnodombra
281;sciagura
135;palla ombra
199;rivincita
129;introforza
44;geloraggio
45;bora
49;iper raggio
64;terremoto
67;psichico
147;breccia
167;rocciotomba
142;facciata
100;furto
275;coro
219;focalcolpo
252;raggioscossa
223;gigaimpatto
293;battiterra
94;frana
348;assillo
84;mangiasogni
137;spaccaroccia
149;forzasegreta
207;neropulsar
349;crescipugno
53;forza
106;finta
262;funestovento
143;centripugno
111;ventogelato
102;russare
