id;name
229;gelodenti
132;sgranocchio
68;attacco rapido
41;pistolacqua
124;inseguimento
79;comete
254;acquagetto
257;doppiosmash
138;mulinello
12;ventagliente
209;idrondata
42;idropompa
129;introforza
44;geloraggio
45;bora
49;iper raggio
65;fossa
147;breccia
167;rocciotomba
142;facciata
275;coro
276;echeggiavoce
219;focalcolpo
280;idrovampata
199;rivincita
223;gigaimpatto
137;spaccaroccia
149;forzasegreta
349;crescipugno
43;surf
53;forza
77;cascata
150;sub
3;doppiasberla
118;tagliofuria
92;sfuriate
25;bottintesta
108;fangosberla
97;lacerazione
308;spazzasberla
143;centripugno
8;gelopugno
111;ventogelato
126;codacciaio
102;russare
189;idropulsar
