id;name
106;finta
173;sabbiotomba
108;fangosberla
293;battiterra
94;frana
222;geoforza
295;codadrago
64;terremoto
123;dragospiro
140;baraonda
49;iper raggio
178;dragartigli
215;dragofuria
129;introforza
57;solarraggio
65;fossa
40;lanciafiamme
76;fuocobomba
167;rocciotomba
176;aeroassalto
142;facciata
275;coro
119;alacciaio
284;bruciatutto
223;gigaimpatto
248;pietrataglio
292;entomoblocco
197;retromarcia
137;spaccaroccia
149;forzasegreta
349;crescipugno
16;volo
53;forza
251;coleomorso
118;tagliofuria
14;raffica
181;colpodifango
68;attacco rapido
169;segnoraggio
238;dragobolide
214;dragopulsar
7;fuocopugno
114;gigassorbimento
141;ondacalda
126;codacciaio
113;oltraggio
102;russare
145;troppoforte
9;tuonopugno
37;morso
132;sgranocchio
195;fintoattacco
339;ondaboato
213;ronzio
