id;name
109;falcecannone
28;azione
70;autodistruzione
250;coleomorso
31;riduttore
124;rapigiro
234;cristalcolpo
198;rivincita
91;esplosione
33;sdoppiatore
264;velenoshock
128;introforza
49;iper raggio
57;solarraggio
64;terremoto
65;fossa
166;rocciotomba
141;facciata
274;coro
222;gigaimpatto
290;invertivolt
291;entomoblocco
292;battiterra
94;frana
235;cannonflash
136;spaccaroccia
148;forzasegreta
53;forza
36;missilspillo
145;vendetta
172;sabbiotomba
79;comete
297;giravvita
113;gigassorbimento
168;segnoraggio
101;russare
