id;name
279;veicolaforza
198;zuffa
186;fendifoglia
208;nottesferza
66;confusione
118;tagliofuria
97;lacerazione
233;psicotaglio
195;fintoattacco
116;falsofinale
264;psicoshock
129;introforza
49;iper raggio
61;fulmine
64;terremoto
67;psichico
135;palla ombra
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
272;calciobasso
275;coro
276;echeggiavoce
219;focalcolpo
252;raggioscossa
286;nemesi
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
212;forbice x
206;velenpuntura
84;mangiasogni
137;spaccaroccia
149;forzasegreta
349;crescipugno
345;magibrillio
13;taglio
53;forza
231;furtivombra
270;sincrumore
217;assorbipugno
299;doppiocolpo
7;fuocopugno
143;centripugno
157;granvoce
8;gelopugno
148;privazione
188;ondashock
169;segnoraggio
102;russare
9;tuonopugno
234;cozzata zen
334;incantavoce
185;fogliamagica
335;assorbibacio
136;divinazione
