id;name
328;pungiglione
312;tecnobotto
68;attacco rapido
126;ferrartigli
117;tagliofuria
270;nitrocarica
246;bombagnete
97;lacerazione
168;segnoraggio
96;tripletta
211;forbice x
212;ronzio
109;falcecannone
49;iper raggio
70;autodistruzione
128;introforza
44;geloraggio
45;bora
57;solarraggio
61;fulmine
62;tuono
67;psichico
40;lanciafiamme
175;aeroassalto
141;facciata
274;coro
219;energipalla
251;raggioscossa
91;esplosione
226;ombrartigli
222;gigaimpatto
291;entomoblocco
344;assillo
196;retromarcia
235;cannonflash
148;forzasegreta
206;neropulsar
16;volo
250;coleomorso
295;elettrotela
113;gigassorbimento
244;sporcolancio
245;metaltestata
200;ultimascelta
187;ondashock
101;russare
233;cozzata zen
