id;name
162;sgomento
28;azione
66;confusione
199;garanzia
20;pestone
46;psicoraggio
256;doppiosmash
233;cozzata zen
131;sgranocchio
67;psichico
263;psicoshock
128;introforza
61;fulmine
62;tuono
64;terremoto
134;palla ombra
141;facciata
99;furto
274;coro
275;echeggiavoce
219;energipalla
251;raggioscossa
285;nemesi
292;battiterra
84;mangiasogni
136;spaccaroccia
148;forzasegreta
341;magibrillio
53;forza
21;doppiocalcio
135;divinazione
12;ventagliente
31;riduttore
273;ripicca
156;granvoce
125;codacciaio
187;ondashock
168;segnoraggio
101;russare
139;baraonda
