id;name
254;acquagetto
10;graffio
41;pistolacqua
66;confusione
92;sfuriate
189;idropulsar
234;cozzata zen
209;idrondata
42;idropompa
264;psicoshock
129;introforza
44;geloraggio
45;bora
49;iper raggio
65;fossa
67;psichico
147;breccia
176;aeroassalto
142;facciata
272;calciobasso
275;coro
219;focalcolpo
280;idrovampata
227;ombrartigli
223;gigaimpatto
137;spaccaroccia
149;forzasegreta
349;crescipugno
43;surf
53;forza
77;cascata
150;sub
278;pulifumo
130;incrocolpo
136;divinazione
232;pantanobomba
46;psicoraggio
270;sincrumore
143;centripugno
8;gelopugno
111;ventogelato
126;codacciaio
169;segnoraggio
102;russare
194;acquadisale
