id;name
330;spettrotuffo
143;centripugno
1;botta
163;sgomento
108;fangosberla
115;rotolamento
170;pugnodombra
5;megapugno
121;dinamipugno
64;terremoto
193;martelpugno
129;introforza
44;geloraggio
49;iper raggio
57;solarraggio
61;fulmine
67;psichico
135;palla ombra
147;breccia
167;rocciotomba
142;facciata
100;furto
272;calciobasso
275;coro
219;focalcolpo
252;raggioscossa
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
236;cannonflash
137;spaccaroccia
149;forzasegreta
349;crescipugno
16;volo
53;forza
217;assorbipugno
222;geoforza
7;fuocopugno
8;gelopugno
111;ventogelato
188;ondashock
169;segnoraggio
102;russare
145;troppoforte
9;tuonopugno
234;cozzata zen
