id;name
133;forzantica
180;colpodifango
221;geoforza
239;lavasbuffo
64;terremoto
347;spade telluriche
57;solarraggio
76;fuocobomba
192;martelpugno
177;dragartigli
128;introforza
49;iper raggio
265;abbattimento
61;fulmine
62;tuono
65;fossa
146;breccia
40;lanciafiamme
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
165;vampata
218;focalcolpo
283;bruciatutto
226;ombrartigli
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
294;codadrago
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
213;dragopulsar
7;fuocopugno
245;metaltestata
125;codacciaio
187;ondashock
101;russare
9;tuonopugno
139;baraonda
