id;name
259;magmaclisma
140;ondacalda
221;geoforza
245;metaltestata
59;turbofuoco
133;forzantica
229;rogodenti
131;sgranocchio
239;lavasbuffo
247;pietrataglio
128;introforza
49;iper raggio
57;solarraggio
64;terremoto
65;fossa
40;lanciafiamme
76;fuocobomba
166;rocciotomba
141;facciata
270;nitrocarica
274;coro
165;vampata
283;bruciatutto
91;esplosione
198;rivincita
222;gigaimpatto
292;battiterra
94;frana
235;cannonflash
136;spaccaroccia
148;forzasegreta
206;neropulsar
53;forza
250;coleomorso
213;dragopulsar
101;russare
139;baraonda
