id;name
163;palla clima
14;raffica
220;baldeali
170;extrasenso
76;fuocobomba
119;magifuoco
133;forzantica
135;divinazione
87;aeroattacco
128;introforza
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
64;terremoto
67;psichico
134;palla ombra
40;lanciafiamme
175;aeroassalto
141;facciata
270;nitrocarica
274;coro
275;echeggiavoce
165;vampata
251;raggioscossa
281;cadutalibera
283;bruciatutto
222;gigaimpatto
292;battiterra
84;mangiasogni
136;spaccaroccia
148;forzasegreta
16;volo
53;forza
221;geoforza
113;gigassorbimento
140;ondacalda
156;granvoce
245;metaltestata
187;ondashock
168;segnoraggio
101;russare
233;cozzata zen
