id;name
287;marchiatura
228;fulmindenti
39;braciere
73;smog
37;morso
230;rogodenti
106;finta
274;ripicca
40;lanciafiamme
132;sgranocchio
129;introforza
49;iper raggio
57;solarraggio
135;palla ombra
107;fangobomba
76;fuocobomba
142;facciata
271;nitrocarica
100;furto
275;coro
166;vampata
284;bruciatutto
199;rivincita
286;nemesi
223;gigaimpatto
84;mangiasogni
137;spaccaroccia
149;forzasegreta
322;urlorabbia
207;neropulsar
53;forza
195;fintoattacco
59;turbofuoco
124;inseguimento
69;ira
202;sbigoattacco
141;ondacalda
157;granvoce
126;codacciaio
102;russare
140;baraonda
