id;name
203;fuococarica
10;graffio
39;braciere
105;pugnorapido
92;sfuriate
101;ruotafuoco
195;fintoattacco
198;zuffa
59;turbofuoco
285;acrobazia
129;introforza
49;iper raggio
57;solarraggio
64;terremoto
65;fossa
147;breccia
40;lanciafiamme
76;fuocobomba
167;rocciotomba
176;aeroassalto
142;facciata
271;nitrocarica
272;calciobasso
275;coro
166;vampata
219;focalcolpo
284;bruciatutto
227;ombrartigli
286;nemesi
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
206;velenpuntura
197;retromarcia
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
53;forza
154;calciardente
21;doppiocalcio
139;bruciapelo
7;fuocopugno
143;centripugno
141;ondacalda
52;sottomissione
9;tuonopugno
160;incendio
289;fiammapatto
102;russare
183;supplica
299;doppiocolpo
126;codacciaio
245;sporcolancio
140;baraonda
