id;name
66;confusione
79;comete
67;psichico
234;cozzata zen
33;sdoppiatore
136;divinazione
201;ultimascelta
190;obbliderio
264;psicoshock
129;introforza
49;iper raggio
61;fulmine
62;tuono
135;palla ombra
176;aeroassalto
142;facciata
275;coro
220;energipalla
252;raggioscossa
223;gigaimpatto
84;mangiasogni
197;retromarcia
236;cannonflash
149;forzasegreta
349;crescipugno
345;magibrillio
217;assorbipugno
7;fuocopugno
8;gelopugno
111;ventogelato
246;metaltestata
188;ondashock
169;segnoraggio
102;russare
9;tuonopugno
140;baraonda
189;idropulsar
338;forza lunare
