id;name
28;azione
60;tuonoshock
68;attacco rapido
21;doppiocalcio
228;fulmindenti
36;missilspillo
239;scarica
201;ultimascelta
62;tuono
129;introforza
49;iper raggio
61;fulmine
65;fossa
135;palla ombra
142;facciata
275;coro
276;echeggiavoce
252;raggioscossa
286;nemesi
223;gigaimpatto
291;invertivolt
297;sprizzalampo
137;spaccaroccia
149;forzasegreta
53;forza
183;supplica
279;veicolaforza
270;sincrumore
157;granvoce
126;codacciaio
188;ondashock
169;segnoraggio
102;russare
79;comete
37;morso
31;riduttore
33;sdoppiatore
