id;name
334;assorbibacio
1;botta
72;leccata
103;polneve
3;doppiasberla
8;gelopugno
299;cuorestampo
191;svegliopacca
224;slavina
29;corposcontro
45;bora
263;psicoshock
128;introforza
44;geloraggio
49;iper raggio
67;psichico
134;palla ombra
146;breccia
141;facciata
99;furto
274;coro
275;echeggiavoce
218;focalcolpo
219;energipalla
198;rivincita
222;gigaimpatto
293;alitogelido
84;mangiasogni
148;forzasegreta
345;crescipugno
138;bruciapelo
182;supplica
216;assorbipugno
142;centripugno
156;granvoce
110;ventogelato
168;segnoraggio
101;russare
188;idropulsar
233;cozzata zen
66;confusione
