id;name
208;nottesferza
195;fintoattacco
10;graffio
54;assorbimento
181;colpodifango
254;acquagetto
55;megassorbimento
97;lacerazione
134;forzantica
129;introforza
44;geloraggio
45;bora
49;iper raggio
266;abbattimento
65;fossa
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
280;idrovampata
223;gigaimpatto
248;pietrataglio
94;frana
212;forbice x
137;spaccaroccia
149;forzasegreta
13;taglio
43;surf
77;cascata
150;sub
48;raggiaurora
47;bollaraggio
114;gigassorbimento
111;ventogelato
148;privazione
125;rapigiro
31;riduttore
209;idrondata
222;geoforza
102;russare
145;troppoforte
189;idropulsar
