id;name
4;cometapugno
138;bruciapelo
37;morso
256;doppiosmash
69;ira
5;megapugno
276;insidia
89;stordipugno
131;sgranocchio
112;oltraggio
201;sbigoattacco
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
64;terremoto
65;fossa
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
274;coro
218;focalcolpo
283;bruciatutto
226;ombrartigli
285;nemesi
222;gigaimpatto
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
43;surf
53;forza
282;ribaltiro
158;tritartigli
33;sdoppiatore
142;centripugno
192;martelpugno
20;pestone
139;baraonda
208;idrondata
182;supplica
216;assorbipugno
7;fuocopugno
8;gelopugno
110;ventogelato
125;codacciaio
187;ondashock
101;russare
9;tuonopugno
188;idropulsar
