id;name
112;oltraggio
69;ira
37;morso
172;sabbiotomba
199;garanzia
107;fangosberla
131;sgranocchio
65;fossa
273;ripicca
64;terremoto
177;dragartigli
128;introforza
49;iper raggio
265;abbattimento
146;breccia
106;fangobomba
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
271;calciobasso
274;coro
218;focalcolpo
283;bruciatutto
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
294;codadrago
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
345;crescipugno
13;taglio
53;forza
33;sdoppiatore
229;rogodenti
123;inseguimento
236;scalaroccia
227;fulmindenti
139;baraonda
208;idrondata
213;dragopulsar
221;geoforza
142;centripugno
125;codacciaio
147;privazione
101;russare
144;troppoforte
32;colpo
