id;name
111;ventogelato
134;forzantica
44;geloraggio
123;dragospiro
97;lacerazione
316;gelamondo
214;dragopulsar
45;bora
113;oltraggio
157;granvoce
325;incrofiamma
321;vampagelida
326;incrotuono
320;elettrogelo
178;dragartigli
129;introforza
49;iper raggio
67;psichico
135;palla ombra
167;rocciotomba
142;facciata
275;coro
276;echeggiavoce
119;alacciaio
219;focalcolpo
227;ombrartigli
199;rivincita
223;gigaimpatto
248;pietrataglio
94;frana
295;codadrago
236;cannonflash
137;spaccaroccia
149;forzasegreta
13;taglio
16;volo
53;forza
238;dragobolide
222;geoforza
246;metaltestata
169;segnoraggio
102;russare
234;cozzata zen
