id;name
213;dragopulsar
278;veicolaforza
122;dragospiro
152;foschisfera
233;cozzata zen
67;psichico
177;dragartigli
263;psicoshock
128;introforza
44;geloraggio
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
64;terremoto
134;palla ombra
175;aeroassalto
141;facciata
274;coro
118;alacciaio
219;energipalla
251;raggioscossa
226;ombrartigli
285;nemesi
222;gigaimpatto
292;battiterra
84;mangiasogni
148;forzasegreta
13;taglio
16;volo
43;surf
77;cascata
149;sub
182;supplica
237;dragobolide
110;ventogelato
200;ultimascelta
112;oltraggio
187;ondashock
101;russare
188;idropulsar
