id;name
242;vigorcolpo
72;leccata
148;privazione
30;avvolgibotta
20;pestone
18;schianto
115;rotolamento
277;insidia
129;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
64;terremoto
65;fossa
135;palla ombra
147;breccia
40;lanciafiamme
76;fuocobomba
167;rocciotomba
142;facciata
100;furto
275;coro
219;focalcolpo
284;bruciatutto
91;esplosione
286;nemesi
223;gigaimpatto
293;battiterra
94;frana
295;codadrago
84;mangiasogni
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
43;surf
53;forza
328;rutto
29;corposcontro
193;martelpugno
174;fanghiglia
144;maniereforti
102;russare
234;cozzata zen
209;idrondata
17;legatutto
7;fuocopugno
143;centripugno
8;gelopugno
111;ventogelato
126;codacciaio
188;ondashock
9;tuonopugno
189;idropulsar
