id;name
180;rimbalzo
1;botta
68;attacco rapido
23;calciosalto
89;stordipugno
83;calcinvolo
129;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
65;fossa
135;palla ombra
142;facciata
272;calciobasso
275;coro
219;focalcolpo
252;raggioscossa
286;nemesi
223;gigaimpatto
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
53;forza
283;ribaltiro
257;doppiosmash
139;bruciapelo
7;fuocopugno
143;centripugno
8;gelopugno
172;stramontante
9;tuonopugno
183;supplica
217;assorbipugno
157;granvoce
126;codacciaio
201;ultimascelta
188;ondashock
102;russare
140;baraonda
189;idropulsar
