id;name
133;extrarapido
214;dragopulsar
198;zuffa
205;forzasfera
68;attacco rapido
127;ferrartigli
195;fintoattacco
349;crescipugno
112;ossoraffica
129;introforza
49;iper raggio
64;terremoto
65;fossa
67;psichico
135;palla ombra
147;breccia
167;rocciotomba
142;facciata
272;calciobasso
275;coro
219;focalcolpo
227;ombrartigli
199;rivincita
286;nemesi
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
206;velenpuntura
236;cannonflash
137;spaccaroccia
149;forzasegreta
207;neropulsar
53;forza
37;morso
154;calciardente
224;pugnoscarica
283;ribaltiro
130;incrocolpo
132;sgranocchio
83;calcinvolo
172;stramontante
218;vuotonda
217;assorbipugno
299;doppiocolpo
143;centripugno
8;gelopugno
126;codacciaio
102;russare
9;tuonopugno
189;idropulsar
234;cozzata zen
204;palmoforza
