id;name
163;sgomento
55;megassorbimento
129;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
147;breccia
142;facciata
100;furto
275;coro
276;echeggiavoce
219;focalcolpo
220;energipalla
280;idrovampata
223;gigaimpatto
137;spaccaroccia
149;forzasegreta
349;crescipugno
43;surf
53;forza
77;cascata
150;sub
114;gigassorbimento
56;foglielama
41;pistolacqua
217;assorbipugno
7;fuocopugno
143;centripugno
157;granvoce
8;gelopugno
111;ventogelato
148;privazione
210;semebomba
102;russare
9;tuonopugno
140;baraonda
189;idropulsar
234;cozzata zen
54;assorbimento
47;bollaraggio
139;bruciapelo
92;sfuriate
42;idropompa
