id;name
164;palla clima
14;raffica
215;dragofuria
171;extrasenso
42;idropompa
103;aerocolpo
134;forzantica
136;divinazione
87;aeroattacco
264;psicoshock
129;introforza
44;geloraggio
45;bora
49;iper raggio
61;fulmine
62;tuono
64;terremoto
67;psichico
135;palla ombra
176;aeroassalto
142;facciata
275;coro
276;echeggiavoce
119;alacciaio
252;raggioscossa
282;cadutalibera
223;gigaimpatto
293;battiterra
295;codadrago
84;mangiasogni
137;spaccaroccia
149;forzasegreta
16;volo
43;surf
53;forza
77;cascata
150;sub
209;idrondata
214;dragopulsar
222;geoforza
114;gigassorbimento
157;granvoce
111;ventogelato
246;metaltestata
126;codacciaio
188;ondashock
169;segnoraggio
102;russare
189;idropulsar
234;cozzata zen
