id;name
2;colpokarate
272;calciobasso
146;vendetta
148;privazione
128;vitaltiro
192;svegliopacca
299;doppiocolpo
52;sottomissione
130;incrocolpo
121;dinamipugno
129;introforza
266;abbattimento
64;terremoto
65;fossa
147;breccia
40;lanciafiamme
76;fuocobomba
167;rocciotomba
142;facciata
100;furto
275;coro
219;focalcolpo
284;bruciatutto
199;rivincita
286;nemesi
293;battiterra
94;frana
206;velenpuntura
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
224;pugnoscarica
198;zuffa
7;fuocopugno
8;gelopugno
24;calciorullo
144;maniereforti
9;tuonopugno
143;centripugno
102;russare
145;troppoforte
