id;name
46;psicoraggio
174;semitraglia
168;segnoraggio
28;azione
88;bolla
47;bollaraggio
25;bottintesta
188;idropulsar
31;riduttore
210;eterelama
179;rimbalzo
42;idropompa
128;introforza
44;geloraggio
45;bora
49;iper raggio
64;terremoto
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
279;idrovampata
284;acrobazia
222;gigaimpatto
292;battiterra
94;frana
148;forzasegreta
43;surf
77;cascata
149;sub
18;schianto
130;tornado
208;idrondata
244;sporcolancio
110;ventogelato
245;metaltestata
209;semebomba
101;russare
