id;name
28;azione
88;bolla
41;pistolacqua
114;rotolamento
47;bollaraggio
208;idrondata
335;carineria
33;sdoppiatore
144;troppoforte
42;idropompa
128;introforza
44;geloraggio
45;bora
65;fossa
146;breccia
141;facciata
274;coro
279;idrovampata
136;spaccaroccia
148;forzasegreta
345;crescipugno
43;surf
53;forza
77;cascata
149;sub
253;acquagetto
29;corposcontro
135;divinazione
173;fanghiglia
18;schianto
179;rimbalzo
182;supplica
142;centripugno
156;granvoce
8;gelopugno
110;ventogelato
125;codacciaio
147;privazione
101;russare
188;idropulsar
