id;name
75;ossoclava
25;bottintesta
93;ossomerang
69;ira
116;falsofinale
32;colpo
112;ossoraffica
33;sdoppiatore
286;nemesi
129;introforza
44;geloraggio
45;bora
49;iper raggio
266;abbattimento
64;terremoto
65;fossa
147;breccia
40;lanciafiamme
76;fuocobomba
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
276;echeggiavoce
219;focalcolpo
284;bruciatutto
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
134;forzantica
277;insidia
21;doppiocalcio
246;metaltestata
80;capocciata
222;geoforza
7;fuocopugno
143;centripugno
111;ventogelato
126;codacciaio
148;privazione
113;oltraggio
102;russare
9;tuonopugno
140;baraonda
