id;name
28;azione
41;pistolacqua
107;fangosberla
180;colpodifango
231;pantanobomba
94;frana
173;fanghiglia
31;riduttore
64;terremoto
128;introforza
44;geloraggio
45;bora
65;fossa
146;breccia
268;fangonda
166;rocciotomba
141;facciata
274;coro
275;echeggiavoce
279;idrovampata
292;battiterra
136;spaccaroccia
148;forzasegreta
345;crescipugno
43;surf
53;forza
77;cascata
149;sub
133;forzantica
224;slavina
37;morso
33;sdoppiatore
154;palla gelo
74;fango
20;pestone
139;baraonda
137;mulinello
208;idrondata
221;geoforza
8;gelopugno
110;ventogelato
125;codacciaio
101;russare
144;troppoforte
287;acquapatto
188;idropulsar
42;idropompa
