id;name
336;carineria
246;metaltestata
337;vento di fata
163;sgomento
37;morso
11;presa
106;finta
132;sgranocchio
202;sbigoattacco
129;introforza
44;geloraggio
49;iper raggio
57;solarraggio
135;palla ombra
147;breccia
40;lanciafiamme
107;fangobomba
76;fuocobomba
167;rocciotomba
142;facciata
275;coro
219;focalcolpo
116;falsofinale
252;raggioscossa
284;bruciatutto
199;rivincita
223;gigaimpatto
248;pietrataglio
94;frana
236;cannonflash
137;spaccaroccia
149;forzasegreta
207;neropulsar
349;crescipugno
53;forza
134;forzantica
230;rogodenti
229;gelodenti
158;velenodenti
18;schianto
228;fulmindenti
143;centripugno
274;ripicca
8;gelopugno
111;ventogelato
148;privazione
201;ultimascelta
102;russare
9;tuonopugno
