id;name
234;cozzata zen
7;fuocopugno
9;tuonopugno
8;gelopugno
66;confusione
195;fintoattacco
204;palmoforza
129;introforza
83;calcinvolo
264;psicoshock
49;iper raggio
67;psichico
135;palla ombra
147;breccia
167;rocciotomba
142;facciata
272;calciobasso
275;coro
219;focalcolpo
220;energipalla
286;nemesi
223;gigaimpatto
94;frana
206;velenpuntura
84;mangiasogni
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
224;pugnoscarica
217;assorbipugno
121;dinamipugno
139;bruciapelo
233;psicotaglio
143;centripugno
169;segnoraggio
102;russare
