id;name
275;coro
68;attacco rapido
66;confusione
285;acrobazia
46;psicoraggio
276;echeggiavoce
197;retromarcia
192;svegliopacca
67;psichico
157;granvoce
198;zuffa
264;psicoshock
129;introforza
49;iper raggio
61;fulmine
62;tuono
135;palla ombra
147;breccia
142;facciata
272;calciobasso
219;focalcolpo
220;energipalla
252;raggioscossa
227;ombrartigli
199;rivincita
286;nemesi
223;gigaimpatto
248;pietrataglio
84;mangiasogni
137;spaccaroccia
149;forzasegreta
349;crescipugno
345;magibrillio
53;forza
183;supplica
217;assorbipugno
299;doppiocolpo
7;fuocopugno
143;centripugno
8;gelopugno
148;privazione
201;ultimascelta
314;cantoantico
188;ondashock
169;segnoraggio
102;russare
9;tuonopugno
140;baraonda
234;cozzata zen
